beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id
"Pipeline Porter","Kona Brewing Company","Porter - Coffee",5.3,23,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,4,"2016-01-01 21:49:22",https://untappd.com/c/262942644,https://untappd.com/beer/8062,https://untappd.com/brewery/1988,"United States","Kailua Kona",HI,,,,262942644,8062,1988
"Java Stout","Bell's Brewery","Stout - American",7.5,0,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3.5,"2016-01-01 21:49:35",https://untappd.com/c/262942877,https://untappd.com/beer/4144,https://untappd.com/brewery/2507,"United States",Comstock,MI,,,,262942877,4144,2507
"Rocky Road","Smuttynose Brewing Co.","Stout - American",7.1,30,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3.75,"2016-01-01 22:00:41",https://untappd.com/c/262948058,https://untappd.com/beer/1337566,https://untappd.com/brewery/1160,"United States",Hampton,NH,,,,262948058,1337566,1160
"Pipeline Porter","Kona Brewing Company","Porter - Coffee",5.3,23,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,4,"2016-01-08 22:28:47",https://untappd.com/c/264992545,https://untappd.com/beer/8062,https://untappd.com/brewery/1988,"United States","Kailua Kona",HI,,,,264992545,8062,1988
"Snow & Tell","Boulevard Brewing Co.","Scotch Ale / Wee Heavy",6.3,28,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3.5,"2016-01-08 22:29:16",https://untappd.com/c/264992713,https://untappd.com/beer/1282655,https://untappd.com/brewery/1514,"United States","Kansas City",MO,,,,264992713,1282655,1514
"Milk Stout","The Duck-Rabbit Craft Brewery","Stout - Milk / Sweet",5.7,25,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,4,"2016-01-18 16:40:58",https://untappd.com/c/268349510,https://untappd.com/beer/5445,https://untappd.com/brewery/2682,"United States",Farmville,NC,,,,268349510,5445,2682
"Toaster Pastry","21st Amendment Brewery","IPA - Red",7.6,74,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3.5,"2016-01-18 16:41:32",https://untappd.com/c/268349639,https://untappd.com/beer/1200307,https://untappd.com/brewery/4339,"United States","San Francisco",CA,,,,268349639,1200307,4339
"King's Peak Porter","Uinta Brewing Company","Porter - American",4,25,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2016-01-18 17:32:35",https://untappd.com/c/268362640,https://untappd.com/beer/5393,https://untappd.com/brewery/1304,"United States","Salt Lake City",UT,,,,268362640,5393,1304
"Jack Rose","Perennial Artisan Ales","Fruit Beer",8,0,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,4.5,"2016-01-18 18:01:09",https://untappd.com/c/268370676,https://untappd.com/beer/1223274,https://untappd.com/brewery/3533,"United States","St Louis",MO,,,,268370676,1223274,3533
"Raised By Wolves","Right Proper Brewing Company","Pale Ale - American",5,0,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3.5,"2016-01-24 14:50:07",https://untappd.com/c/270298399,https://untappd.com/beer/523732,https://untappd.com/brewery/95332,"United States",Washington,DC,,,,270298399,523732,95332
"Anniversary 20 Experimental IPA","Victory Brewing Company","IPA - American",5.5,45,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3.5,"2016-01-24 15:13:50",https://untappd.com/c/270311053,https://untappd.com/beer/1363211,https://untappd.com/brewery/1326,"United States",Downingtown,PA,,,,270311053,1363211,1326
"The Angel & The Sword","The Civil Life Brewing Co.","Extra Special / Strong Bitter",4.6,32,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3.75,"2016-01-24 15:58:23",https://untappd.com/c/270340578,https://untappd.com/beer/994973,https://untappd.com/brewery/3499,"United States","St Louis",MO,,,,270340578,994973,3499
"Fresh Squeezed IPA","Deschutes Brewery","IPA - American",6.4,60,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3.5,"2016-01-24 16:30:11",https://untappd.com/c/270362587,https://untappd.com/beer/59622,https://untappd.com/brewery/441,"United States",Bend,OR,,,,270362587,59622,441
"The Infinite","Jailbreak Brewing Company","Red Ale - American Amber / Red",5,19,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2016-01-24 17:05:18",https://untappd.com/c/270384522,https://untappd.com/beer/802110,https://untappd.com/brewery/62976,"United States",Laurel,MD,,,,270384522,802110,62976
"The Lubitsch Touch","Right Proper Brewing Company","Grätzer / Grodziskie",4.7,0,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3.5,"2016-02-19 20:26:55",https://untappd.com/c/279113884,https://untappd.com/beer/556138,https://untappd.com/brewery/95332,"United States",Washington,DC,,,,279113884,556138,95332
"Wild Turkey Bourbon Barrel Stout","Anderson Valley Brewing Company","Stout - Oatmeal",6.9,14,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,4,"2016-02-26 19:31:22",https://untappd.com/c/281532286,https://untappd.com/beer/130880,https://untappd.com/brewery/3880,"United States",Boonville,CA,,,,281532286,130880,3880
"Velvet Merlin","Firestone Walker Brewing Company","Stout - Oatmeal",5.5,27,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3.5,"2016-02-26 20:02:58",https://untappd.com/c/281560188,https://untappd.com/beer/7927,https://untappd.com/brewery/524,"United States","Paso Robles",CA,,,,281560188,7927,524
"Early Riser Coffee Porter","Boulevard Brewing Co.","Porter - American",5,28,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,4,"2016-02-26 20:26:57",https://untappd.com/c/281581983,https://untappd.com/beer/1350873,https://untappd.com/brewery/1514,"United States","Kansas City",MO,,,,281581983,1350873,1514
"Zombie Date Night","3 Stars Brewing Company","Porter - Imperial / Double",9.6,0,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3.75,"2016-02-26 21:28:41",https://untappd.com/c/281637566,https://untappd.com/beer/329692,https://untappd.com/brewery/12185,"United States",Washington,DC,,,,281637566,329692,12185
"Rise Up Stout","Evolution Craft Brewing Company","Stout - Other",6.7,40,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,4,"2016-03-25 22:40:13",https://untappd.com/c/292145014,https://untappd.com/beer/16436,https://untappd.com/brewery/2169,"United States",Salisbury,MD,,,,292145014,16436,2169
"Mirror Pond Pale Ale","Deschutes Brewery","Pale Ale - American",5,40,,"Henry's Tavern",Denver,CO,"United States",39.7444,-104.991,3.5,"2016-04-22 11:57:39",https://untappd.com/c/302445265,https://untappd.com/beer/3587,https://untappd.com/brewery/441,"United States",Bend,OR,,,,302445265,3587,441
"Drop Top Amber","Widmer Brothers Brewing","Red Ale - American Amber / Red",5.5,20,,"Henry's Tavern",Denver,CO,"United States",39.7444,-104.991,3,"2016-04-22 12:25:45",https://untappd.com/c/302456264,https://untappd.com/beer/7361,https://untappd.com/brewery/3028,"United States",Portland,OR,,,,302456264,7361,3028
"3rd Eye Enlightened","Steamworks Brewing Co. (Colorado)","Pale Ale - American",6.5,60,,"Henry's Tavern",Denver,CO,"United States",39.7444,-104.991,3.25,"2016-04-22 13:27:06",https://untappd.com/c/302484078,https://untappd.com/beer/949937,https://untappd.com/brewery/4410,"United States",Durango,CO,,,,302484078,949937,4410
