geoid,rate_2010,state,urbanity,name,total_pop,total_hholds,speak_only_english,educ_less_than_hs,educ_hs_grad,educ_some_college,educ_college_grad,educ_post_grad,income_u10k,income_10k_to_u15k,income_15k_to_u25k,income_25k_to_u35k,income_35k_to_u50k,income_50k_to_u65k,income_65k_to_u75k,income_75k_or_more,marital_never_married,livinginarea_1_to_4,livinginarea_5_to_17,livinginarea_18_to_19,livinginarea_20_to_49,livinginarea_50_plus,citizenship_non_citizen,incomepovertyratio_u1,incomepovertyratio_1_to_2,incomepovertyratio_2_plus,hh_with_earnings,employ_employed,employ_unemployed,inequality_index_gini,hhtype_married_couple,hhtype_m_householder,hhtype_f_householder,hhtype_living_alone,traveltowork_drove_alone,traveltowork_carpooled,traveltowork_public_transit,commutetime_u10,commutetime_10_30,commutetime_30_60,commute_time_60_90,commutetime_90_plus,structure_year_built_median,worktype_for_profit,worktype_non_profit,worktype_government
_31087,0.57,NE,non_core,"Hitchcock County, Nebraska",578.0,314.0,0.988187523071244,0.13148956817079088,0.361475012130034,0.3760310528869481,0.08733624454148471,0.04366812227074236,0.2420965058236273,0.13352745424292845,0.19342762063227956,0.13477537437603992,0.12895174708818635,0.04118136439267887,0.01955074875207987,0.04034941763727121,0.1668053244592346,0.052947052947052944,0.15051615051615053,0.01831501831501832,0.3226773226773227,0.4555444555444556,0.0003498950314905528,0.1111111111111111,0.3703703703703704,0.5185185185185185,0.7145148356054529,0.5940298507462687,0.011940298507462687,0.381,0.56214915797915,0.04651162790697674,0.09623095429029672,0.27105052125100243,0.6575645756457564,0.14833948339483394,0.0,0.35411670663469225,0.4580335731414868,0.18305355715427654,0.0007993605115907273,0.003996802557953637,1946.0,0.98494736340685,1.0271519077787834,4.805030248177964
_31089,0.69,NE,non_core,"Holt County, Nebraska",2237.0,1057.0,0.9754411309462389,0.136357132637001,0.3783087709257405,0.31792817284303904,0.1247674917727858,0.04263843182143368,0.2395482940893801,0.12349831811629025,0.18596828447861605,0.16278231619413744,0.11244593945218644,0.05345987506006728,0.021984622777510808,0.04493032196059587,0.208433445458914,0.046194073213248116,0.1818710052295177,0.045516172767770674,0.30582994383110595,0.4205888049583576,0.008091245856892179,0.10941370767960364,0.2947976878612717,0.5957886044591247,0.78125,0.6569817334804462,0.009071962731396349,0.41600000000000004,0.5859945255474452,0.027372262773722632,0.04425182481751825,0.29630474452554745,0.7131887118448839,0.07890190055672874,0.003647533115761183,0.4950188177994244,0.3637369935798096,0.1173345140580031,0.009298206774407793,0.014611467788355103,1959.0,0.970614965162072,1.0188254641450645,3.855757995412645
_31091,0.7,NE,non_core,"Hooker County, Nebraska",160.0,83.0,0.9888535031847132,0.06882591093117409,0.31376518218623484,0.3643724696356275,0.19635627530364366,0.05668016194331984,0.23893805309734514,0.1415929203539823,0.1752212389380531,0.17345132743362832,0.13097345132743365,0.035398230088495575,0.017699115044247787,0.049557522123893805,0.1911504424778761,0.042584434654919234,0.13362701908957414,0.033773861967694566,0.28634361233480177,0.5036710719530103,0.0,0.11965811965811965,0.5213675213675214,0.35897435897435903,0.7107692307692308,0.5716878402903811,0.019963702359346643,0.39799999999999996,0.5353846153846153,0.033846153846153845,0.021538461538461538,0.3969230769230769,0.6709677419354839,0.08709677419354839,0.0,0.5302491103202847,0.3487544483985765,0.06405693950177936,0.03558718861209965,0.021352313167259787,1955.0,1.1309783232022022,0.37037886607791415,2.757808617196161
_31093,0.75,NE,small_metro,"Howard County, Nebraska",1269.0,544.0,0.9719656992084432,0.0973208152049462,0.4119532860087016,0.3679871765514083,0.08632928784062285,0.03640943439432105,0.23068006182380216,0.10471406491499227,0.1732998454404946,0.15320710973724885,0.16228748068006182,0.060857805255023184,0.028400309119010817,0.032650695517774345,0.18257341576506955,0.05087798289058983,0.18174996247936365,0.03992195707639202,0.3744559507729251,0.3529941467807294,0.002941631831552872,0.17062219371391918,0.2386144964720975,0.5907633098139833,0.7916666666666666,0.6513364779874213,0.020440251572327043,0.376,0.6023391812865497,0.027046783625730996,0.05957602339181287,0.2865497076023392,0.7555141348244796,0.11183597390493942,0.0,0.30471956224350205,0.3348153214774282,0.30540355677154585,0.046853625170998635,0.008207934336525308,1961.0,1.0076291979757706,1.0862214384296889,3.834879619690232
_31095,0.86,NE,non_core,"Jefferson County, Nebraska",1164.0,587.0,0.977574047954866,0.0963130173062453,0.4166666666666667,0.34875846501128666,0.09292701279157263,0.045334838224228735,0.2590515860301186,0.12351810317206025,0.1901634091637296,0.15652034604293494,0.12704261454661964,0.04886254405639218,0.01826337712271708,0.04053188080743352,0.20410124959948733,0.03802331743508214,0.16242713301536832,0.031134075251722314,0.3165076841547429,0.4519077901430842,0.0,0.17345597897503284,0.2614980289093298,0.5650459921156373,0.7409404013177598,0.6437174479166666,0.031901041666666664,0.397,0.5366876310272537,0.02665468703204552,0.0643905360886493,0.341120095837077,0.7843894899536321,0.08423493044822257,0.0023183925811437398,0.4337147641641083,0.3642199274351102,0.1607591403851521,0.012280212112754674,0.029025955902874687,1944.0,0.9163592691086899,1.0395470532727116,5.114652140344856
_31097,0.7,NE,non_core,"Johnson County, Nebraska",1020.0,430.0,0.9126272912423624,0.1913311105411644,0.4093357271095153,0.2585278276481149,0.1048986919723006,0.03590664272890485,0.16924110141034251,0.07723304231027535,0.15043653458697112,0.13722856503246025,0.14864562346093574,0.05507051712558765,0.0167897918065816,0.01611820013431833,0.2466980076113723,0.03430079155672823,0.11176027139087824,0.025254428948360347,0.4770071617037317,0.3516773464003016,0.04193611601019009,0.14140127388535031,0.1770700636942675,0.6815286624203821,0.756688541140838,0.5233858088067533,0.026465890942276974,0.355,0.607773851590106,0.008581524482584554,0.029782937910146388,0.2948006057546694,0.7472381794078656,0.13300927971718954,0.0,0.3472744360902256,0.3369360902255639,0.17340225563909775,0.12734962406015038,0.015037593984962403,1943.0,0.9473249612936522,1.0229485635644249,4.109753999655943
_31099,0.85,NE,micropolitan,"Kearney County, Nebraska",928.0,393.0,0.9578059071729956,0.049048152295632697,0.3505039193729003,0.361926091825308,0.1625979843225084,0.07592385218365062,0.1738883632923368,0.09593188268684956,0.1402081362346263,0.1631031220435194,0.17483443708609273,0.08363292336802271,0.019110690633869443,0.0760643330179754,0.21759697256386,0.0474659317103047,0.1814423518603583,0.03690093400704333,0.3625784719032307,0.3716123105190629,0.014809160305343513,0.13956466069142126,0.2272727272727273,0.6331626120358514,0.8015521064301552,0.6771561771561772,0.02991452991452992,0.4,0.5665188470066519,0.031411677753141166,0.10938654841093866,0.2653362897265336,0.7648449039881832,0.10753323485967503,0.0038404726735598227,0.3532022828154724,0.3994927076727964,0.21655041217501586,0.018389346861128725,0.012365250475586556,1960.0,0.9809523809523808,0.9463993316624896,3.315588972431078
_31101,0.58,NE,non_core,"Keith County, Nebraska",1187.0,656.0,0.9428343525658068,0.15717778553964373,0.34928396786587496,0.30370241005937826,0.1393643031784841,0.05047153335661893,0.18601842065529214,0.11807338064321304,0.20141929639136344,0.1743922693643364,0.13981579344707834,0.05828174543258342,0.018722633247772912,0.05133625245357089,0.15748150385021895,0.04562982005141388,0.15526992287917735,0.020051413881748067,0.3263496143958869,0.4526992287917738,0.034660952861104107,0.09838107098381073,0.32627646326276466,0.5753424657534246,0.8156820038115982,0.6406370805628576,0.017473326117210454,0.428,0.569289409202287,0.030492785189218618,0.04465014974135584,0.31554587530628914,0.7825128581925055,0.06220915993142297,0.0,0.4226267880364109,0.3622886866059818,0.18179453836150844,0.030429128738621587,0.002860858257477243,1967.0,0.9344891128577338,1.0966492422248129,3.6932420743860703
_31103,0.57,NE,non_core,"Keya Paha County, Nebraska",206.0,137.0,0.959748427672956,0.10983606557377047,0.44098360655737706,0.34098360655737703,0.08852459016393442,0.019672131147540985,0.29017857142857145,0.04166666666666666,0.2261904761904762,0.18303571428571427,0.08035714285714286,0.07291666666666667,0.019345238095238096,0.02083333333333333,0.12202380952380952,0.06614349775784753,0.16704035874439466,0.014573991031390137,0.2959641255605381,0.4562780269058296,0.0,0.2962962962962963,0.5462962962962963,0.1574074074074074,0.8189189189189189,0.6817496229260935,0.0,0.385,0.6864864864864865,0.013513513513513514,0.02972972972972973,0.2702702702702703,0.5486111111111112,0.08101851851851853,0.0,0.40993788819875776,0.4130434782608696,0.15838509316770186,0.018633540372670808,0.0,1939.0,0.9557699864646552,1.673710867571934,3.1456577740907306
_31105,0.66,NE,non_core,"Kimball County, Nebraska",515.0,270.0,0.9446857804807414,0.10136674259681093,0.35041761579346997,0.3580106302201974,0.12338648443432045,0.06681852695520121,0.21036687983843824,0.12756647593402895,0.16560080780881858,0.15314708852238304,0.15382026253786604,0.06294177044766072,0.041063614944463145,0.029956243688993606,0.16290811174688655,0.05294596796090144,0.1800162910670649,0.031224545207711105,0.29405376052131416,0.4417594352430084,0.008232711306256859,0.1623931623931624,0.2783882783882784,0.5592185592185592,0.7983040581465778,0.6408764121876069,0.012666894899007191,0.381,0.5469412477286493,0.04360993337371289,0.057540884312537864,0.3276801938219261,0.7081712062256809,0.11951083935519735,0.0,0.5094454600853139,0.2699573430834857,0.17672151127361366,0.01767215112736136,0.026203534430225474,1955.0,1.0073102720627023,0.4600195945436733,3.58346521968498
