state,geoid,name,total_pop,total_hholds,speak_only_english,educ_less_than_hs,educ_hs_grad,educ_some_college,educ_college_grad,educ_post_grad,income_u10k,income_10k_to_u15k,income_15k_to_u25k,income_25k_to_u35k,income_35k_to_u50k,income_50k_to_u65k,income_65k_to_u75k,income_75k_or_more,marital_never_married,livinginarea_1_to_4,livinginarea_5_to_17,livinginarea_18_to_19,livinginarea_20_to_49,livinginarea_50_plus,citizenship_non_citizen,incomepovertyratio_u1,incomepovertyratio_1_to_2,incomepovertyratio_2_plus,hh_with_earnings,employ_employed,employ_unemployed,inequality_index_gini,hhtype_married_couple,hhtype_m_householder,hhtype_f_householder,hhtype_living_alone,traveltowork_drove_alone,traveltowork_carpooled,traveltowork_public_transit,commutetime_u10,commutetime_10_30,commutetime_30_60,commute_time_60_90,commutetime_90_plus,structure_year_built_median,worktype_for_profit,worktype_non_profit,worktype_government
KS,_20051,"Ellis County, Kansas",2446,1041,0.93514546447235,0.09105170272566834,0.27563893064906203,0.3111314464997712,0.20851036015425845,0.11366755997123995,0.28898357199332336,0.12277079855925503,0.16814548010190636,0.12628481068259687,0.11192128612843714,0.0644821224633225,0.021171923043134498,0.056795220943512255,0.3631292277958359,0.051241939791674615,0.1395322217558854,0.04094013506810638,0.457934297378763,0.3103514060055706,0.0110412401286926,0.07039257397021853,0.23535099593888997,0.6942564300908916,0.852873967305326,0.7019681349578257,0.03405185879412684,0.469,0.47925821761293724,0.03462822991738443,0.06380734751274389,0.3164879592195465,0.8270301774381557,0.0992099468980702,0.0021370288822691362,0.4422435640923036,0.47985861011071096,0.045084700546885424,0.01727357609710551,0.015539549152994532,1971.0,0.9532597607344895,1.2045349160715941,3.936474079569693
KS,_20053,"Ellsworth County, Kansas",991,475,0.9584307178631052,0.08568884932116626,0.3979523703538838,0.2991319830847986,0.1591364344535945,0.05809036278655687,0.19531396438612933,0.0922211808809747,0.1668228678537957,0.14976569821930646,0.14376757263355203,0.07385192127460169,0.023617619493908153,0.0492970946579194,0.22980318650421744,0.03265433058622298,0.13932514383455138,0.03094386565075416,0.3991603172134971,0.39791634271497434,0.009124379702257084,0.04382826475849732,0.38998211091234347,0.5661896243291592,0.7649925037481259,0.597768532526475,0.018910741301059002,0.395,0.5318590704647677,0.04085457271364318,0.03860569715142429,0.3395802098950525,0.7679147837314396,0.10296965784377017,0.001936733376371853,0.4686525805334257,0.31104953238656047,0.1600277104260478,0.03186698995497056,0.028403186698995497,1952.0,0.9124092995705613,1.0926254997778766,3.1236487487042797
KS,_20055,"Finney County, Kansas",2495,926,0.6166487068965517,0.2900068977409898,0.2518106570098293,0.2917313329884463,0.10967408173823073,0.05677703052250388,0.20417028670721113,0.0719775446100381,0.18114682884448305,0.15491545813005414,0.13449842945933302,0.07371516407137606,0.016340306088351266,0.05189467352803582,0.2913854173628283,0.07771110050970448,0.23694980791925077,0.030255856579707235,0.4344037964195144,0.22067943857182312,0.14560265352909615,0.20262088413369828,0.33855851372646595,0.4588206021398358,0.8844241584481213,0.6989656117276339,0.0376078914919852,0.4,0.5849702502241422,0.05860298312820931,0.11027793626212405,0.20678131877088599,0.7719902210247966,0.12662775033677592,0.0024946365314573666,0.37660198672088113,0.528797158886201,0.078079160018529,0.01363940501312471,0.00288228936126409,1977.0,0.9787452862529996,0.9577572086999581,4.038776520778578
KS,_20057,"Ford County, Kansas",2297,898,0.5708296707011968,0.30729893072989306,0.25311224753344697,0.27728704995092723,0.10961309985019888,0.05268867193553386,0.18961868802124393,0.09651051823575785,0.1888303389900834,0.18497157794282396,0.13547155719679682,0.04667856105555786,0.017094726359902078,0.03539272229368076,0.2767934940458902,0.06672578142318776,0.21908351014979258,0.032238654717040884,0.43119992399531304,0.25075212971466576,0.19220462850182704,0.2487567238404547,0.3081295037044555,0.4431137724550898,0.8500957417707669,0.6938619577213685,0.027209440529756344,0.406,0.5492842162852193,0.051518190936445704,0.11817269991793562,0.22011489012492022,0.7818932615904398,0.15372583369830445,0.00012513295376337358,0.30584784133664944,0.614310311842357,0.05777692749186914,0.010904916778266693,0.011160002550857726,1972.0,0.9943241867929699,0.9041766156495871,3.4941088973264964
KS,_20059,"Franklin County, Kansas",2584,1118,0.9744900044969543,0.0912357168099894,0.4091765814583579,0.3222994463423254,0.12545647308281305,0.051831782306514314,0.18997539678710984,0.10748227121424092,0.16937623619084374,0.15659221380674418,0.14887355878238218,0.07130107578754402,0.027352983742582854,0.05349992763760915,0.23643205171498866,0.05770597993522395,0.18895647365510704,0.03862864365273718,0.4092345366932617,0.3054743660636701,0.007273419649657273,0.09148803976390184,0.23904939422180801,0.6694625660142901,0.8164779383053494,0.6682907623406664,0.03863379103302328,0.372,0.5520304568527918,0.048223350253807105,0.09459195626708317,0.27704021866458417,0.7725593667546174,0.15356200527704486,0.0014323407463249151,0.2485640097568652,0.40821465103469984,0.2671335274215123,0.05854119128176882,0.017546620505153827,1967.0,0.9795890643572763,0.8785871964679912,3.587943623705213
KS,_20061,"Geary County, Kansas",2161,933,0.8994882368101321,0.09478925840298773,0.3180390064615567,0.39077597960756416,0.13373643962297707,0.06265931590491434,0.17671606199965934,0.0932123999318685,0.16645375574859478,0.16811446090955545,0.14435360245273376,0.06289388519843297,0.02120592743995912,0.04096406063702947,0.2501703287344575,0.0738713188009102,0.18101770932955183,0.04151963855819015,0.45668304587276987,0.24690828743857798,0.030650061767553673,0.1482194417709336,0.30482606902241166,0.5469544892066548,0.8360906569761882,0.6463177035978699,0.03268822790838637,0.407,0.5424117815817155,0.027732619298077844,0.1472697714449651,0.24988046284785312,0.8439157036029912,0.09986403806934059,6.798096532970769e-05,0.18611878453038674,0.6926795580110497,0.10718232044198896,0.013052486187845304,0.0009668508287292818,1972.0,0.7994951756707243,1.1054431461954972,4.1117127386719865
KS,_20063,"Gove County, Kansas",786,392,0.98,0.10790190735694823,0.4305177111716621,0.2959128065395095,0.1226158038147139,0.04305177111716621,0.2157968970380818,0.11377527033380348,0.21297602256699577,0.16455101081335213,0.12976022566995768,0.04842501175364363,0.007052186177715092,0.04184297132110954,0.10860366713681241,0.05110294117647059,0.18676470588235294,0.00625,0.29816176470588235,0.4577205882352941,0.005771450557906887,0.10971223021582734,0.2751798561151079,0.6151079136690647,0.7437011294526499,0.5969509290138161,0.007622677465459742,0.374,0.6863596872284969,0.009556907037358819,0.035621198957428324,0.2528236316246742,0.704582651391162,0.08183306055646482,0.0,0.5485307212822796,0.3606411398040962,0.05699020480854853,0.025823686553873553,0.008014247551202136,1956.0,0.9114327178908329,0.5794968959122793,3.6963234701281946
KS,_20065,"Graham County, Kansas",627,329,0.9838174273858921,0.07393416082029142,0.3788451160280626,0.3232595790609822,0.16837560712358338,0.05558553696708041,0.20503432494279175,0.15194508009153318,0.16247139588100687,0.14919908466819223,0.15102974828375287,0.06453089244851258,0.02379862700228833,0.06132723112128147,0.2091533180778032,0.038897280966767374,0.12802114803625378,0.029833836858006044,0.3538519637462236,0.44939577039274925,0.0,0.10874200426439233,0.3603411513859275,0.5309168443496801,0.7653457653457654,0.6753731343283582,0.008395522388059701,0.425,0.48484848484848486,0.03341103341103341,0.048174048174048176,0.40093240093240096,0.696376811594203,0.12028985507246377,0.0,0.5195439739413681,0.26302931596091206,0.11970684039087948,0.06921824104234528,0.028501628664495113,1954.0,0.841413212901163,1.1290515966588066,4.582150993165741
KS,_20067,"Grant County, Kansas",445,176,0.6446881019410283,0.20765709529754472,0.29504785684560964,0.33749479816895545,0.11776945484810654,0.04203079483978361,0.16950393556653853,0.09335529928610653,0.14735493318689366,0.11330770638843127,0.14277869302581,0.07523338824821527,0.044298004759289765,0.10012813472451035,0.13984989932271646,0.06916010498687664,0.22664041994750656,0.012598425196850394,0.42349081364829394,0.2681102362204724,0.14171953030098527,0.12894619831036017,0.39395286794130724,0.47710093374833257,0.8652252252252253,0.6844185171245766,0.016560030109145654,0.404,0.6594594594594595,0.015855855855855857,0.09513513513513513,0.21945945945945947,0.7434494673193205,0.17708033400518283,0.0,0.5107849011384062,0.4071300179748352,0.04913121629718394,0.029958058717795086,0.0029958058717795086,1974.0,0.9966457149764294,1.1598573673395383,3.2260062855070712
KS,_20069,"Gray County, Kansas",1175,463,0.7601113172541744,0.2695379349686252,0.29863091842555617,0.2732458642327439,0.12236166571591557,0.036223616657159154,0.23751717819514429,0.09001374255611544,0.15826843792945489,0.16491067338524965,0.11726981218506642,0.058176820888685296,0.03435639028859368,0.05771873568483738,0.21369674759505267,0.0694375721589972,0.22859970311726868,0.026389576117433613,0.38858650832921,0.28698664027709053,0.15870858113848768,0.20430107526881722,0.32371250707413696,0.47198641765704585,0.8500496524329693,0.6783790114780979,0.020847973764347622,0.382,0.6931479642502483,0.009433962264150943,0.07944389275074479,0.2035749751737835,0.7676031911203607,0.0766562608394034,0.00346860908775581,0.4730493780625707,0.34300791556728233,0.1662269129287599,0.013569543912551827,0.0041462495288352805,1971.0,0.9795229608281825,0.9276857153691556,3.3132986993288083
KS,_20071,"Greeley County, Kansas",283,142,0.9221128021486124,0.07202881152460984,0.36014405762304924,0.34813925570228094,0.13565426170468187,0.08403361344537816,0.18962075848303392,0.07085828343313373,0.19760479041916168,0.15568862275449102,0.15269461077844312,0.054890219560878244,0.04491017964071856,0.0658682634730539,0.15768463073852296,0.04957983193277311,0.13949579831932774,0.02100840336134454,0.35294117647058826,0.4369747899159664,0.04818258664412511,0.0,0.2345679012345679,0.7654320987654321,0.8435754189944135,0.6707193515704154,0.008105369807497468,0.475,0.6945996275605214,0.0260707635009311,0.0335195530726257,0.23277467411545624,0.8167456556082149,0.04897314375987362,0.0,0.6616915422885572,0.2537313432835821,0.07960199004975124,0.004975124378109453,0.0,1962.0,0.8450797627380908,1.3150351840253471,3.239361898095273
